Sample;SPECIES;MLST-type;Total length;# contigs (>= 0 bp);# contigs (>= 1000 bp);# contigs (>= 5000 bp);# contigs (>= 10000 bp);# contigs (>= 25000 bp);# contigs (>= 50000 bp);Total length (>= 0 bp);Total length (>= 1000 bp);Total length (>= 5000 bp);Total length (>= 10000 bp);Total length (>= 25000 bp);Total length (>= 50000 bp);# contigs;Largest contig;GC (%);N50;N75;L50;L75;# N's per 100 kbp
ECO-JSC-RGN-105230;ecoli;131.0;5307664;92;76;54;47;32;26;5307664;5296334;5231599;5177220;4952244;4727729;92;489786;5074;191127;136415;9;17;496
ECO-JSC-RGN-103781;ecoli;131.0;5315595;116;95;63;52;35;25;5315595;5301213;5213988;5132553;4864177;4501646;116;511059;5069;170798;109141;10;19;485
ECO-JSC-RGN-104196;ecoli;131.0;5323811;109;98;71;59;38;30;5323811;5316315;5241675;5151679;4801602;4520807;109;361948;5076;149583;98654;12;23;526
ECO-JSC-RGN-103709;ecoli;131.0;5324653;112;84;56;50;35;25;5324653;5305931;5227442;5190253;4954188;4598649;112;425652;5067;186469;107475;10;19;118
ECO-JSC-RGN-103789;ecoli;131.0;5325051;142;121;80;63;45;32;5325051;5309482;5203938;5071333;4775420;4318686;142;477000;5077;127993;66121;13;27;565
ECO-JSC-RGN-103684;ecoli;131.0;5332746;131;107;63;52;33;23;5332746;5316659;5201961;5123843;4826160;4477425;131;404232;5051;241937;109279;9;18;255
ECO-JSC-RGN-104232;ecoli;131.0;5344559;117;90;66;59;38;26;5344559;5325181;5258617;5209110;4878787;4447447;117;392951;5063;173932;109261;11;20;137
ECO-JSC-RGN-103881;ecoli;131.0;5350880;208;154;95;78;49;32;5350880;5311893;5164638;5045578;4621590;3994770;208;292383;508;110590;47871;17;33;267
ECO-JSC-RGN-103833;ecoli;131.0;5357562;147;114;79;63;41;31;5357562;5334907;5241276;5133311;4784546;4437108;147;363276;5055;148679;75007;13;24;86
ECO-JSC-RGN-103834;ecoli;131.0;5366237;124;98;67;53;31;25;5366237;5348052;5270319;5170211;4778676;4553084;124;562517;5055;180026;108328;10;20;285
ECO-JSC-RGN-103675;ecoli;131.0;5374664;117;88;62;58;39;26;5374664;5353666;5285374;5258281;4996131;4540064;117;450219;5066;178539;114146;10;20;664
ECO-JSC-RGN-104224;ecoli;131.0;5376985;116;92;72;63;41;29;5376985;5359131;5304477;5239684;4922633;4507897;116;452012;5066;171766;84454;12;22;683
ECO-JSC-RGN-103679;ecoli;131.0;5377223;96;72;53;49;32;25;5377223;5360493;5308120;5281838;5028126;4763237;96;488400;5058;204741;124092;10;18;8
ECO-JSC-RGN-103701;ecoli;131.0;5379052;91;70;52;49;33;27;5379052;5363718;5314587;5291888;5062924;4855094;91;488689;5058;205278;124677;10;18;286
ECO-JSC-RGN-103778;ecoli;131.0;5393565;144;115;85;75;50;34;5393565;5373170;5299206;5225501;4860017;4286645;144;303926;5063;127094;60405;15;30;13
ECO-JSC-RGN-103695;ecoli;131.0;5527563;153;122;85;70;42;30;5527563;5505347;5408922;5303631;4843554;4412333;153;332296;5064;154496;65596;13;26;63
ECO-JSC-RGN-103737;ecoli;131.0;5603695;217;159;95;76;45;32;5603695;5562871;5408432;5277297;4797573;4363509;217;342561;5047;129553;58872;13;29;12169
ECO-MSA-BAC-105504;to be assembled;;;;;;;;;;;;;;;;;;;;;;
ECO-MSA-BAC-105530;to be assembled;;;;;;;;;;;;;;;;;;;;;;
